"","ALF1","ALF3","ALF5","ALF7","RPF1","RPF3","RPF5","RPF7","HAF1","HAF3","HAF5","HAF7"
"Dist HV",182.682,114.468964,100.149,100.126,106.386,131.876,164.175,247.866,153.6289,217.8502,202.994,201.727
"Densidad HV",47.267664973,64.369864757,71.077276663,71.77854606,58.296319095,41.244403274,36.533110573,37.892091286,16.244296771,13.74127943,17.065799132,27.927058788
"HV 1°",0.4104868817,0.1918027577,0.1572894694,0.1443628941,0.4855169341,0.2694508578,0.2403520106,0.2600037812,0.2544971658,0.2333421347,0.2133500403,0.2052629396
"Diam HV",48.897106731,29.784875961,25.784035087,23.283201589,31.873241975,25.251626209,24.538998769,22.638847099,46.941687671,41.864615457,38.732648907,30.337723426
"Area HV %",0.0822866405,0.0506869431,0.040975821,0.0284125515,0.041655254,0.0199998837,0.0150014657,0.0131221039,0.0370590124,0.0247277721,0.0237076402,0.0220087656
"Tamaño CVI",135.41307224,181.34725811,188.98290373,194.53952295,29.386,29.706,31.02890125,27.204,63.84,66.806,67.06573753,58.742
"Area CVI %",0.0767686211,0.091439631,0.0922650728,0.0870621127,0.0300615077,0.0185081633,0.0154735496,0.0138882484,0.0186137339,0.0166306972,0.0179352558,0.017845038
"Tamaño CVE",0,0,0,0,216.98422082,418.16359605,414.04953533,327.9546405,1166.38772726,1563.1477581,1437.66650604,732.56787004
"Area CVE %",0,0,0,0,0.1270128138,0.1393295236,0.1173261713,0.0986077928,0.1435825939,0.1574799026,0.1661788546,0.1464535046
"Tamaño M",357.102,418.408,381.49,370.94,185.58,145.744,168.5,190.2,218.136,224.58,242.668,190.848
"Sv*",6.1905867972,5.1384356665,4.9188881213,4.3892218065,4.9258822755,2.8694610089,2.4175200174,2.3510766136,2.1580293307,1.6471649032,1.8558316347,2.4435685789
"Sb*",10.3971784807,12.2043578144,12.57616394,12.197204336,14.07310194,11.899382644,9.7248273726,9.3385223855,7.4609877478,7.1404304888,8.2369400365,9.9873907367
"Tamaño hoja",338685.85,508709.31,523725.3,403095.6,335533.97,909619.788,1099793.058,745420.855,4228877.121,4878107.144,3930011.271,1737740.265
"Densidad HV1°",19.206,11.771,11.245,10.312,28.26052938,11.2181367939,8.8282921013,9.8911774513,4.1491185015,3.1895883212,3.621903251,5.7725210565
"Densidad HV2°",28.063,52.599,59.831,61.468,30.035789718,30.02626648,27.70481847,28.000913835,12.0951782686,10.5516911076,13.4438958821,22.154537732
"especie.C4",1,1,1,1,0,0,0,0,0,0,0,0
